Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
Bolivia,1980,2023,4.13884618,21.551966119,17.413119938999998,420.7240177986029,0.7186869332685061,1.7601833134326894,1.0414963801641832,144.91655990287407
Jordan,1980,2023,5.20715,22.434274194,17.227124193999998,330.8359504527428,2.3306698726068467,1.961173384700517,-0.3694964879063296,-15.85366045398137
Portugal,1980,2023,21.193941007,38.271661053,17.077720046000003,80.57831264303096,2.1671808723719765,3.612728964861671,1.4455480924896946,66.7017742228199
Netherlands,1980,2023,171.120169972,188.190778467,17.070608494999988,9.975801507088972,12.080918491439867,10.517229287783266,-1.563689203656601,-12.9434629061075
Ethiopia,1980,2023,1.70001,18.518765043,16.818755043,989.3327123369863,0.04937795757703207,0.14390022855397822,0.09452227097694615,191.4260443629867
Angola,1980,2023,3.390313036,19.659878958,16.269565922,479.88388532981475,0.4168141613243975,0.5349640028506193,0.11814984152622177,28.345927871262578
Tunisia,1980,2023,8.539987205,24.645205947,16.105218742,188.5859821027683,1.2927242531781538,2.0200276504188786,0.7273033972407248,56.26129435203636
Bosnia and Herzegovina,1992,2023,8.455783826,24.512827053,16.057043227,189.89420209191618,1.9968242282180957,7.696158629017294,5.699334400799199,285.41993432667374
Tanzania,1980,2023,1.91186,17.707315159,15.795455159,826.1826262906279,0.0996291253099959,0.26580536013005573,0.16617623482005983,166.79483464599602
Sudan,1980,2023,3.166282759,18.242341696,15.076058937,476.1437965117632,0.1856088469362034,0.3645348649825479,0.1789260180463445,96.39950950605503
New Zealand,1980,2023,18.518504385,33.505667141,14.987162756000004,80.93074064955059,5.87334696015475,6.458003793001827,0.5846568328470765,9.954406521757264
Ireland,1980,2023,20.617035964,35.486330774,14.869294810000003,72.12139919610028,6.032253485868102,6.668389986496477,0.6361365006283748,10.54558635704992
Guatemala,1980,2023,4.09952,18.546156542,14.446636541999998,352.3982452091952,0.594115079362779,1.0232452557926028,0.4291301764298239,72.23014384521086
Sri Lanka,1980,2023,4.87238,19.153087405,14.280707405000001,293.09510762707345,0.32815125569353926,0.8337717324681498,0.5056204767746106,154.08153039243894
Uzbekistan,1992,2023,97.585460102,110.991809712,13.406349610000007,13.73806056351754,4.542008439434045,3.113173023346875,-1.42883541608717,-31.45822900023518
